Kelompok Pengeluaran,Komoditas Makanan,Pengeluaran per minggu per kapita
"<150,000",PADI-PADIAN,9973
"<150,000","Beras (beras lokal, kualitas unggul, impor)",8690
"<150,000",Beras ketan,0
"<150,000",Jagung basah degan kulit,0
"<150,000",Jagung pipilan/beras jagung/jagung titi,1153
"<150,000",Tepung terigu,130
"<150,000",Padi-padian lainnya,0
"<150,000",UMBI-UMBIAN,2878
"<150,000",Ketala pohon/singkong,0
"<150,000",Ketela rambat/ubi jalar,1609
"<150,000",Sagu (bukan dari ketela pohon),416
"<150,000",Talas/keladi,666
"<150,000",Kentang,0
"<150,000",Gaplek,0
"<150,000",Umbi-umbian lainnya,188
"<150,000",IKAN,1206
"<150,000",Ekor kuning,0
"<150,000","Tongkol, tuna, cakalang, dencis, ikan kayu",88
"<150,000",Tenggiri,0
"<150,000",Selar,199
"<150,000","Kembung, lema/tatare, banyar/banyara",0
"<150,000",Teri,0
"<150,000",Bandeng,2
"<150,000",Gabus,90
"<150,000",Mujair,0
"<150,000","Mas, Nila",0
"<150,000",Lele,0
"<150,000",Kakap,69
"<150,000",Baronang,0
"<150,000",Patin,0
"<150,000",Bawal,0
"<150,000",Gurame,0
"<150,000",Ikan segar/basah lainnya,443
"<150,000","Udang, lobster",0
"<150,000","Cumi-cumi, sotong, gurita",151
"<150,000","Ketam, kepiting, rajungan",0
"<150,000","Kerang, siput, bekicot, remis",90
"<150,000",Udang dan hewan air lainnya yang segar lainnya,0
"<150,000",Kembung diawetkan/peda,0
"<150,000",Tenggiri diawetkan,0
"<150,000",Tongkol/tuna/cakalang diawetkan,1
"<150,000",Teri diawetkan,0
"<150,000",Selar diawetkan,0
"<150,000",Sepat diawetkan,0
"<150,000",Bandeng diawetkan,0
"<150,000",Gabus diawetkan,0
"<150,000","Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",0
"<150,000",Ikan diawetkan lainnya,73
"<150,000","Udang diawetkan (ebi, rebon)",0
"<150,000","Cumi-cumi, sotong, gurita diawetkan",0
"<150,000",Udang dan hewan air lainnya yang diawetkan,0
